timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_flip_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
26239427,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
27247160,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28250427,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28674365,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29674466,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30684252,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30961131,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
31966478,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
32974510,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33976463,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
34987029,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35996419,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36997270,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38002501,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
39010951,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
40013776,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41023473,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
42034657,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
42903613,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43913670,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44923757,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45924693,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46930527,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47939424,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48941427,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49941424,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50943423,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51946481,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52951429,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53960443,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54962429,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55408656,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56418626,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57421427,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58428371,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59436453,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60443617,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
61061503,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
61072513,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
