timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
20906410,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
20990397,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
21095406,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
21200423,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
21305399,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
21410399,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
21515399,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
21599403,0.0,-0.0,-0.00212193,-0.0505462,0.999999,0.0,-0.0,-0.00106096,0.277476,-1.0,1,0,0,0,0,0,0
21704402,0.0,-0.0,-0.00690037,-0.0226444,0.999994,0.0,-0.0,-0.00345018,0.584209,-1.0,1,0,0,0,0,0,0
21809403,0.0,-0.0,-0.00643717,0.00573754,0.999995,0.0,-0.0,-0.00321858,0.572173,-1.0,1,0,0,0,0,0,0
21914422,0.0,-0.0,-0.00641463,-0.000595263,0.999995,0.0,-0.0,-0.00320731,0.565928,-1.0,1,0,0,0,0,0,0
22019400,0.0,-0.0,-0.00643992,-6.81586e-05,0.999995,0.0,-0.0,-0.00321995,0.565861,-1.0,1,0,0,0,0,0,0
22124402,0.0,-0.0,-0.00643433,4.02106e-05,0.999995,0.0,-0.0,-0.00321716,0.563974,-1.0,1,0,0,0,0,0,0
22208423,0.0,-0.0,-0.00643463,-7.6435e-06,0.999995,0.0,-0.0,-0.00321731,0.564068,-1.0,1,0,0,0,0,0,0
22313406,0.0,-0.0,-0.00643479,4.07886e-07,0.999995,0.0,-0.0,-0.00321739,0.564803,-1.0,1,0,0,0,0,0,0
22418409,0.0,-0.0,-0.00643474,1.89037e-07,0.999995,0.0,-0.0,-0.00321736,0.565161,-1.0,1,0,0,0,0,0,0
22523400,0.0,-0.0,-0.00643475,-6.38596e-08,0.999995,0.0,-0.0,-0.00321737,0.564395,-1.0,1,0,0,0,0,0,0
22628401,0.0,-0.0,-0.00643475,9.04099e-09,0.999995,0.0,-0.0,-0.00321737,0.572787,-1.0,1,0,0,0,0,0,0
22733401,0.0,-0.0,-0.00643475,1.42437e-10,0.999995,0.0,-0.0,-0.00321737,0.642695,-1.0,1,0,0,0,0,0,0
22817401,0.0,-0.0,-0.00643475,-3.82999e-10,0.999995,0.0,-0.0,-0.00321737,0.716329,-1.0,1,0,0,0,0,0,0
22922423,0.0,-0.0,-0.00643475,9.22341e-11,0.999995,0.0,-0.0,-0.00321737,0.751087,-1.0,1,0,0,0,0,0,0
23027400,0.0,-0.0,-0.00643475,-8.84156e-12,0.999995,0.0,-0.0,-0.00321737,0.801965,-1.0,1,0,0,0,0,0,0
23132423,0.0,-0.0,-0.0121287,-0.0858064,0.999982,0.0,-0.0,-0.00606429,0.964784,-1.0,1,0,0,0,0,0,0
23237423,0.0,-0.0,-0.0174416,-0.0173114,0.999962,0.0,-0.0,-0.00872071,1.0,-1.0,1,0,0,0,0,0,0
23342410,0.0,-0.0,-0.0167151,0.00629397,0.999965,0.0,-0.0,-0.00835744,0.998799,-1.0,1,0,0,0,0,0,0
23426437,0.0,-0.0,-0.0167216,-0.000941689,0.999965,0.0,-0.0,-0.00836071,0.999923,-1.0,1,0,0,0,0,0,0
23531419,0.0,-0.0,-0.0162816,0.0114445,0.999967,0.0,-0.0,-0.00814073,0.991509,-1.0,1,0,0,0,0,0,0
