timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
62402859,-0.00249251,0.0109825,0.00673681,0.999965,-0.00154134,0.000915111,-0.00819507,1.0,0.0,0.0,0.0,0
62520724,-0.00566684,0.000355472,-0.0045417,0.999969,-0.00144426,0.00102878,-0.00765331,1.0,0.0,0.0,0.0,0
62625966,0.00152095,-0.0121376,0.00933839,0.999972,-0.00135245,0.00115923,-0.00723098,1.0,0.0,0.0,0.0,0
62728695,-0.0158734,0.00272882,0.0051348,0.999974,-0.00152922,0.0010356,-0.00698033,1.0,0.0,0.0,0.0,0
62832551,0.00904806,-0.00575994,0.0040253,0.999976,-0.00150202,0.000958174,-0.00674214,1.0,0.0,0.0,0.0,0
62929943,0.00344306,-0.00257231,0.00372952,0.999977,-0.00156665,0.000867632,-0.00661862,1.0,0.0,0.0,0.0,0
63033768,-0.00732072,0.00530537,0.0216463,0.999979,-0.00140028,0.000809911,-0.00631539,1.0,0.0,0.0,0.0,0
63133881,0.00135734,-0.00870464,0.00444295,0.999981,-0.0013713,0.000757007,-0.00602785,1.0,0.0,0.0,0.0,0
63237769,0.00187329,0.0044784,0.0309602,0.999982,-0.00141726,0.000898762,-0.0056982,1.0,0.0,0.0,0.0,0
63338753,0.0066312,-0.00657344,0.0108485,0.999984,-0.00141303,0.000808359,-0.00549675,1.0,0.0,0.0,0.0,0
63441797,0.0188456,-0.00326792,-0.00929828,0.999985,-0.00145814,0.000895226,-0.00531614,1.0,0.0,0.0,0.0,0
63542799,-0.00296591,0.0103678,-0.00928879,0.999986,-0.00142767,0.00098351,-0.00508774,1.0,0.0,0.0,0.0,0
63642882,-0.00679591,-0.0040732,-0.00124022,0.999986,-0.00145226,0.0010561,-0.00495149,1.0,0.0,0.0,0.0,0
63741777,0.000343195,0.0103844,-0.000726067,0.999987,-0.00150257,0.00107438,-0.00471377,1.0,0.0,0.0,0.0,0
63844613,-0.000554547,0.00666482,0.00280842,0.999988,-0.00137315,0.00113053,-0.00463873,1.0,0.0,0.0,0.0,0
63945851,0.0105353,-0.00930479,0.00341639,0.999989,-0.00151744,0.00132764,-0.00415679,1.0,0.0,0.0,0.0,0
64049741,0.0160495,-0.00545318,-0.00796121,0.99999,-0.00147655,0.00136204,-0.00388915,1.0,0.0,0.0,0.0,0
64149847,0.0173668,0.015592,0.0185597,0.999991,-0.00142373,0.0014711,-0.0036697,1.0,0.0,0.0,0.0,0
64249724,0.0312966,-0.0134248,-0.00244815,0.999992,-0.0014342,0.00143102,-0.00348908,1.0,0.0,0.0,0.0,0
64354736,-0.00798706,-0.00540307,0.0220269,0.999993,-0.0014144,0.00108705,-0.00318791,1.0,0.0,0.0,0.0,0
64454737,-0.0100397,-0.00119684,-0.0168667,0.999993,-0.00169239,0.000904204,-0.00319357,1.0,0.0,0.0,0.0,0
64557921,-0.0156138,-0.0154625,-0.0163036,0.999994,-0.00168887,0.000740039,-0.00304513,1.0,0.0,0.0,0.0,0
64658748,-0.00544402,0.00708035,-0.000411755,0.999993,-0.00178155,0.000753383,-0.0030577,1.0,0.0,0.0,0.0,0
