timestamp,roll,pitch,yaw,thrust
16513474,0.0,0.0,0.0,0.08
16637459,0.0,0.0,0.0,0.08
16738589,0.0,0.0,0.0,0.08
16838512,0.0,0.0,0.0,0.08
16941547,0.0,0.0,0.0,0.08
17041471,0.0,0.0,0.0,0.08
17141473,0.0,0.0,0.0,0.08
17245471,0.0,0.0,0.0,0.08
17345473,0.0,0.0,0.0,0.08
17449474,0.0,0.0,0.0,0.08
17545217,0.0,0.0,0.0,0.08
17649517,0.0,0.0,0.0,0.08
17753482,-0.00177083,0.00478993,0.120444,0.08
17853482,-0.00252907,0.00498337,0.119586,0.08
17953487,-0.0045625,0.0075942,0.118529,0.08
18057483,-0.00326363,0.00681081,0.0649054,0.131341
18157536,-0.00228686,0.00826159,0.074492,0.383673
18261469,-0.00516385,0.00695358,0.0696472,0.386738
18361482,-0.00715069,0.00474775,0.0691453,0.481274
18461483,-0.00668235,0.00317636,0.0663567,0.56661
18565491,-0.00092855,0.00120774,0.0554472,0.569879
18665608,-0.00283666,-0.000537851,0.0399923,0.568957
18766531,-0.00326419,-0.000442572,0.0243722,0.569035
18869508,-0.00197878,-0.00226337,0.00988086,0.569034
18969485,0.000161061,-0.000854701,-0.000859805,0.569034
19073613,0.00180016,0.00153789,-0.00917588,0.627155
19173489,-0.0014084,-0.00214271,-0.0143977,0.647831
19273485,-0.000901612,-0.000464305,-0.0171703,0.644952
19377486,0.00101767,-0.00277675,-0.0176585,0.645399
19477483,0.00475543,-0.0025884,-0.0174469,0.644946
19576213,0.00446828,-0.0046181,-0.0167909,0.646234
19682587,-0.000432285,-0.00288215,-0.0154798,0.6459
19782472,0.00195154,-0.00392076,-0.0125547,0.64673
19885486,0.00153988,-0.00390723,-0.00984287,0.655057
19985488,0.00422569,-0.00534254,-0.00786784,0.676848
20085601,0.00685177,-0.00566628,-0.0053138,0.699105
20189471,0.00362037,-0.00415013,0.00573687,0.721222
20291484,-0.00255648,-0.00316321,0.00734114,0.734084
20389490,-0.00740052,0.00063163,0.00302904,0.75818
20493601,-0.00409471,0.000137297,-0.000730104,0.77827
20593485,-0.00279235,-0.000668157,-0.00272284,0.778122
20693484,-0.00180787,-0.00037081,-0.00437667,0.779135
20798506,0.00144335,0.0030339,-0.0048504,0.778086
20898469,-0.000921545,0.00120881,-0.00440249,0.778105
21001556,-0.00234283,0.000869302,-0.00450319,0.779135
21101526,-5.34078e-05,2.55386e-05,-0.00365871,0.778058
21105469,0.0,0.0,0.0,-0.581968
21105469,0.0,0.0,0.0,-6.82197
21105469,0.0,0.0,0.0,-12.822
21105469,0.0,0.0,0.0,-19.062
21105469,0.0,0.0,0.0,-25.0619
21105469,0.0,0.0,0.0,-31.0619
21105469,0.0,0.0,0.0,-37.302
21105469,0.0,0.0,0.0,-43.302
21105469,0.0,0.0,0.0,-49.3021
21105469,0.0,0.0,0.0,-55.5421
21105469,0.0,0.0,0.0,-61.5421
21105469,0.0,0.0,0.0,-67.7821
21105469,0.0,0.0,0.0,-73.7821
21105469,0.0,0.0,0.0,-79.782
21105469,0.0,0.0,0.0,-86.022
21105469,0.0,0.0,0.0,-92.0219
21105469,0.0,0.0,0.0,-98.0219
21105469,0.0,0.0,0.0,-104.262
21105469,0.0,0.0,0.0,-110.262
21105469,0.0,0.0,0.0,-116.262
21105469,0.0,0.0,0.0,-122.502
21105469,0.0,0.0,0.0,-128.502
21105469,0.0,0.0,0.0,-134.502
23538506,-3.83972,-1.88299,0.490935,0.778684
23638497,-3.83972,-1.24342,0.628376,0.778912
23741483,-3.83972,-0.491382,0.670555,0.778595
23841546,-2.32239,-0.0807441,0.576595,0.778079
23944209,-0.666073,0.0524771,0.425074,0.778106
24045546,-0.0659591,0.0708901,0.277781,0.778449
24145485,0.0637973,0.056697,0.151172,0.778057
24245483,0.296936,0.0495913,0.05295,0.778108
24350575,0.242499,0.0336455,-0.0186526,0.779135
24450557,0.205537,0.0320702,-0.0617267,0.778086
24553480,0.184643,0.0321439,-0.0824049,0.778105
24653587,0.172276,0.0347091,-0.0844135,0.778793
24753585,0.168668,0.0372074,-0.181068,0.911279
24857481,0.17374,0.0469822,-0.364159,0.9995
24957530,0.186462,0.0562202,-0.369131,1.0
25061517,0.178354,0.0523759,-0.287321,1.0
25161488,0.163545,0.0455776,-0.10282,1.0
25261639,0.148546,0.0506548,-0.0370547,1.0
25365483,0.139163,0.0585179,0.0109766,1.0
25465482,0.140422,0.056521,0.0394724,1.0
25569565,0.142676,0.0509699,0.0533782,1.0
25670502,0.146946,0.0426221,0.0560485,1.0
25769473,0.149542,0.0384426,0.0517362,1.0
25873485,0.152718,0.0303215,0.0431318,1.0
25972303,0.149513,0.0225159,0.0340382,1.0
26076263,0.148063,0.0200502,0.0244132,1.0
26177537,0.145599,0.0194241,0.0163812,1.0
26277499,0.138844,0.020342,0.00994303,1.0
26377525,0.133644,0.0219434,0.00619319,1.0
26481483,0.123766,0.0184285,0.00275988,1.0
26581555,0.114485,0.0171187,0.0010073,1.0
26685483,0.104287,0.0168235,0.000213901,1.0
26785489,0.0951929,0.0119903,0.00102341,1.0
26885525,0.0856977,0.0102308,0.00192858,1.0
26989473,0.0834668,0.00718757,0.00322086,1.0
27089513,0.0761769,0.00721119,0.00311618,1.0
27193526,0.0577527,0.00808012,0.00422314,1.0
