timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
18241887,-0.00872586,0.00864076,0.0109777,0.999782,0.000405743,-0.000559985,-0.0208559,1.0,0.0,0.0,0.0,0
18245734,0.00166958,0.00702151,-0.00117091,0.999782,0.000409438,-0.000546002,-0.0208489,1.0,0.0,0.0,0.0,0
18345792,0.00364316,-0.00416766,0.00571946,0.999784,0.000544493,-0.000408314,-0.0207599,1.0,0.0,0.0,0.0,0
18449736,0.00130414,-0.00414668,0.0198717,0.999794,0.000524343,-0.000266996,-0.0203008,1.0,0.0,0.0,0.0,0
18550726,-0.0166389,-0.0279645,0.0252389,0.999828,0.000109028,-2.33041e-05,-0.0185379,1.0,0.0,0.0,0.0,0
18650873,0.0027043,-0.0132425,0.0438552,0.999874,0.000150552,4.69342e-06,-0.0158598,1.0,0.0,0.0,0.0,0
18754732,0.0185136,-0.0339548,0.0564286,0.999917,0.00012453,0.000106231,-0.0128924,1.0,0.0,0.0,0.0,0
18853732,-0.0113905,-0.0221341,0.0645116,0.999946,0.000178322,0.000167086,-0.0104336,1.0,0.0,0.0,0.0,0
18957743,0.00389581,-0.0256083,0.0285802,0.999965,-4.09267e-05,0.000162899,-0.00837671,1.0,0.0,0.0,0.0,0
19057734,-0.0195057,-0.019931,0.0117006,0.999976,-0.000141589,-4.60538e-06,-0.00691287,1.0,0.0,0.0,0.0,0
19156672,0.0118449,0.000167759,0.0162537,0.999983,0.000189459,0.00013745,-0.00589422,1.0,0.0,0.0,0.0,0
19260686,0.00585076,0.00369419,0.0102274,0.999986,5.42825e-05,3.17623e-05,-0.00533921,1.0,0.0,0.0,0.0,0
19361724,0.0227151,0.0148902,-0.0163576,0.999987,-9.15153e-05,9.54993e-05,-0.00518639,1.0,0.0,0.0,0.0,0
