timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_flip_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
20839621,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
21843607,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
22847538,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
23848538,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24849801,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
25399967,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
26400532,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
27280550,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
28281803,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
29282538,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30283579,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
31284558,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
32285909,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33286539,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
33452383,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
34453693,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
35080460,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36081694,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
37082403,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38083451,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
39084435,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
40085737,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41086407,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
42087432,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
43088418,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
44089497,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
45090404,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
46091404,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47092427,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48093683,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
48808619,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49567461,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50568404,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
51569920,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
52570406,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
53032583,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
54033661,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
54825423,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55826410,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56827490,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57828417,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58829403,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59830681,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60831525,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
61832404,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62833489,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
63834430,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64835406,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65836411,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66837435,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67838406,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68839447,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
69840568,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70841408,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
71842686,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72843432,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73844408,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
74845720,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
75846404,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76847439,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
77848479,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
78849680,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
79850408,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80851444,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
81852657,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
82853403,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
83854782,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
84855555,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
85856404,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
85878421,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
86882882,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
87884430,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
88687679,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
89688526,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
90469514,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
91470685,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
91646875,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
92647458,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
93648692,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
94649457,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
95650664,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
96651439,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
97652444,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
98268805,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
99269405,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
100270696,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
101271437,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102272639,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
103273454,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
104274686,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
105275405,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
106276441,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
107277416,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
108278947,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
109279457,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
110281058,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
111281408,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
112282739,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
113283439,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
114285008,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
115285464,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
116286830,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
117287435,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
118288430,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
119289412,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
120290703,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
121291463,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
122292408,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
123293405,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
124294690,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
125295410,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
126296408,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
127297456,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
128298695,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
129299407,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
130300410,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
131301414,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
132302697,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
133303503,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
134304405,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
135305420,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
136306714,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
137307412,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
138308411,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
139309514,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
140310693,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
141311410,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
142312436,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
143313442,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
144314693,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
145315503,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
146316449,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
147317405,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
148318686,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
149319554,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
150320440,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
151321447,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
152322691,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
153323410,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
154331580,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
155333579,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
156337448,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
157339637,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
158342450,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
159344579,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
160346637,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
161350579,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
162354578,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
163356636,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
164360584,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
165364742,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
166377483,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
167391601,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
168406503,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
169420594,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
170434107,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
171447788,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
171963652,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
172967606,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
173971528,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174207806,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
175209580,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
176212612,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
177215582,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
177226582,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
