timestamp,roll,pitch,yaw,thrust
26357481,-0.00430226,0.0114167,-1.61719e-06,0.0
26473500,-0.00605273,0.0097462,-1.96076e-06,0.0
26577598,-0.00621164,0.0106198,-2.15487e-06,0.0
26677499,-0.00649857,0.00906895,-1.94573e-06,0.0
26777518,-0.00733841,0.00754684,-1.85794e-06,0.0
26881482,-0.00430105,0.00611575,-8.48862e-07,0.0
26982469,-0.00471851,0.000781524,-1.16763e-07,0.0
27083595,-0.00321551,-0.00147059,1.72328e-07,0.0
27185485,-0.00257191,-0.00110564,8.536e-08,0.0
27285481,-0.00178959,-0.00212186,1.53538e-07,0.0
27389480,-0.000701208,-0.00452922,1.08561e-07,0.0
27489519,0.000496591,-0.00260845,-4.80535e-08,0.120008
27589807,-0.000385043,-0.00202607,-0.00589433,0.744428
27693479,0.00125805,-0.00140305,0.0584248,0.779275
27793046,0.00189262,-0.00237007,0.0128129,0.778152
27896394,0.0022369,-0.000418832,0.00834092,0.778257
27997477,0.00211695,0.00252705,0.00497334,0.778053
28097483,0.000974981,0.00232341,0.00192808,0.778591
28201481,-0.00153678,0.0049936,3.19349e-05,0.77845
28302519,-0.00509784,0.00889142,-0.000477543,0.77826
28401481,-0.00121628,0.00275414,-0.000682597,0.778536
28505477,0.00333254,0.00156303,-0.00238069,0.778449
28605481,0.00411317,0.000993996,-0.00173609,0.778316
28673489,0.00184469,0.00124823,-0.00170387,0.778448
30966478,3.83972,-0.823112,-0.00267426,0.778138
31064209,3.83972,-0.740571,-0.249682,0.778536
31168233,3.83972,-0.555457,-0.373283,0.778449
31269487,3.83972,-0.264169,-0.426852,0.778139
31369485,3.83972,-0.0402623,-0.404925,0.778053
31473485,2.17584,0.051686,-0.326611,0.778591
31573601,0.630376,0.0529649,-0.23202,0.77845
31677479,0.0062598,0.0327794,-0.138694,0.77826
31777482,-0.157589,0.0134037,-0.064043,0.778536
31877484,-0.183198,0.002216,-0.00728423,0.990243
31981602,-0.178781,0.00103375,0.0344323,0.998747
