timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
16521399,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
16626717,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
16731417,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
16836423,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
16941397,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
17025397,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
17130433,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
17235419,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
17340395,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
17445402,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
17550394,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
17634397,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
17753932,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
17854147,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
17954826,0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.08,-1.0,1,0,0,0,0,0,0
18057935,0.0,-0.0,-0.0022487,-0.0940526,0.999999,0.0,-0.0,-0.00112435,0.131341,-1.0,1,0,0,0,0,0,0
18158246,0.0,-0.0,-0.0171504,0.0116992,0.999963,0.0,-0.0,-0.00857511,0.383673,-1.0,1,0,0,0,0,0,0
18259062,0.0,-0.0,-0.0167547,-8.06126e-05,0.999965,0.0,-0.0,-0.00837726,0.386738,-1.0,1,0,0,0,0,0,0
18362153,0.0,-0.0,-0.0167505,-1.78351e-05,0.999965,0.0,-0.0,-0.00837513,0.481274,-1.0,1,0,0,0,0,0,0
18462732,0.0,-0.0,-0.0167506,-1.97913e-07,0.999965,0.0,-0.0,-0.00837518,0.56661,-1.0,1,0,0,0,0,0,0
18566182,0.0,-0.0,-0.0167506,-4.72629e-10,0.999965,0.0,-0.0,-0.00837518,0.570011,-1.0,1,0,0,0,0,0,0
18666292,0.0,-0.0,-0.0167506,2.06811e-10,0.999965,0.0,-0.0,-0.00837518,0.568957,-1.0,1,0,0,0,0,0,0
18766986,0.0,-0.0,-0.0167506,2.80482e-12,0.999965,0.0,-0.0,-0.00837518,0.569033,-1.0,1,0,0,0,0,0,0
18869964,0.0,-0.0,-0.0167506,1.99263e-14,0.999965,0.0,-0.0,-0.00837518,0.569034,-1.0,1,0,0,0,0,0,0
18970149,0.0,-0.0,-0.0167506,-2.24729e-15,0.999965,0.0,-0.0,-0.00837518,0.569034,-1.0,1,0,0,0,0,0,0
19070966,0.0,-0.0,-0.0167506,-3.58366e-17,0.999965,0.0,-0.0,-0.00837518,0.627155,-1.0,1,0,0,0,0,0,0
19173952,0.0,-0.0,-0.0167506,7.73656e-19,0.999965,0.0,-0.0,-0.00837518,0.647831,-1.0,1,0,0,0,0,0,0
19274788,0.0,-0.0,-0.0167506,2.28349e-20,0.999965,0.0,-0.0,-0.00837518,0.644952,-1.0,1,0,0,0,0,0,0
19378162,0.0,-0.0,-0.0167506,4.24229e-22,0.999965,0.0,-0.0,-0.00837518,0.645399,-1.0,1,0,0,0,0,0,0
19477941,0.0,-0.0,-0.0167506,-4.7557e-24,0.999965,0.0,-0.0,-0.00837518,0.644946,-1.0,1,0,0,0,0,0,0
19577470,0.0,-0.0,-0.0167506,-2.14251e-25,0.999965,0.0,-0.0,-0.00837518,0.646234,-1.0,1,0,0,0,0,0,0
