timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
107731730,-0.0198571,0.00560234,0.00716825,0.99998,-0.000966467,-9.98427e-05,0.00627085,1.0,0.0,0.0,0.0,0
107762594,-0.0130052,-0.00307546,0.00937772,0.99998,-0.0010096,-0.000109387,0.00625776,1.0,0.0,0.0,0.0,0
107792732,0.00322439,0.00942046,0.0163524,0.99998,-0.00107017,-5.17116e-05,0.00625027,1.0,0.0,0.0,0.0,0
107824797,0.000173523,-0.00170218,-0.00472632,0.99998,-0.00105796,4.00097e-05,0.0061873,1.0,0.0,0.0,0.0,0
107856895,0.0106142,-0.00367192,0.0106131,0.99998,-0.00109512,-2.34542e-05,0.00618234,1.0,0.0,0.0,0.0,0
107887766,0.00519502,-0.00872836,0.00743991,0.999981,-0.00107369,2.79877e-05,0.00613257,1.0,0.0,0.0,0.0,0
107915723,0.0105555,-0.00532726,-0.00790964,0.999981,-0.00103608,1.79644e-05,0.00616894,1.0,0.0,0.0,0.0,0
107951878,0.00374884,0.00676689,0.013899,0.99998,-0.00108222,6.54722e-05,0.00616876,1.0,0.0,0.0,0.0,0
107980759,0.0119024,-0.0031634,-0.0132137,0.999981,-0.000992343,0.000108417,0.00616026,1.0,0.0,0.0,0.0,0
108011756,-0.00099039,0.0180025,0.0146319,0.999981,-0.000999081,0.000134224,0.00611409,1.0,0.0,0.0,0.0,0
108044734,-0.0184115,0.0245048,0.0116588,0.999982,-0.00101317,0.00025885,0.00600631,1.0,0.0,0.0,0.0,0
108074743,0.0079164,0.0050757,-0.0152376,0.999981,-0.00100013,0.000275434,0.00602147,1.0,0.0,0.0,0.0,0
108108745,0.00328418,-0.00450616,-0.00392399,0.999982,-0.00101556,0.000381501,0.00595671,1.0,0.0,0.0,0.0,0
108140733,-0.0126472,0.00604834,0.00430735,0.999982,-0.00106909,0.000410661,0.00596273,1.0,0.0,0.0,0.0,0
108172773,-0.00381279,-0.0186374,-0.00579895,0.999982,-0.00113666,0.000249875,0.00592065,1.0,0.0,0.0,0.0,0
108199743,0.0117155,0.00563742,0.00712264,0.999982,-0.00115531,0.000260336,0.00591941,1.0,0.0,0.0,0.0,0
108235743,-0.00143994,-0.00144485,-0.0199805,0.999983,-0.00118112,0.000274107,0.00578016,1.0,0.0,0.0,0.0,0
108264745,-0.00220049,0.00141411,0.0142509,0.999982,-0.00122823,0.000372382,0.00582322,1.0,0.0,0.0,0.0,0
108297761,-0.00162475,0.00734805,0.00138698,0.999982,-0.00110095,0.0003566,0.00582751,1.0,0.0,0.0,0.0,0
108327726,-0.018656,-0.00638885,-0.00143207,0.999983,-0.00120646,0.000355538,0.00574976,1.0,0.0,0.0,0.0,0
108360757,-0.00638275,0.0061181,-0.0107006,0.999983,-0.00114396,0.0002793,0.00569376,1.0,0.0,0.0,0.0,0
108392745,0.0097791,0.00012291,0.00695273,0.999983,-0.00116104,0.000307095,0.00574629,1.0,0.0,0.0,0.0,0
108423772,-0.00708483,0.00684331,-0.0100185,0.999983,-0.00119328,0.000305191,0.00575059,1.0,0.0,0.0,0.0,0
108455790,0.00790154,0.0245739,-0.00205148,0.999983,-0.00126803,0.000405085,0.00567287,1.0,0.0,0.0,0.0,0
108484830,0.0112706,-0.00709188,0.000956691,0.999983,-0.00125527,0.000405245,0.00561075,1.0,0.0,0.0,0.0,0
108515743,0.00998403,-0.00580231,-0.00825606,0.999984,-0.00118991,0.000425156,0.00557966,1.0,0.0,0.0,0.0,0
108547732,0.0036952,-0.0040158,0.0161046,0.999983,-0.00131789,0.000448497,0.00561654,1.0,0.0,0.0,0.0,0
108579733,-0.00785883,-0.0166302,0.0296394,0.999983,-0.0013792,0.000416441,0.00564285,1.0,0.0,0.0,0.0,0
108612744,0.0138265,0.0153823,-0.00447061,0.999983,-0.00128081,0.000449517,0.00568556,1.0,0.0,0.0,0.0,0
108644732,0.0215003,-0.0019212,-0.0223166,0.999983,-0.00126313,0.000380425,0.00568387,1.0,0.0,0.0,0.0,0
108675974,0.00341888,-0.0106335,0.000736009,0.999983,-0.00127146,0.00033441,0.0057559,1.0,0.0,0.0,0.0,0
108703737,-0.0123748,-0.000623104,-0.00133306,0.999983,-0.00122859,0.000368685,0.00572756,1.0,0.0,0.0,0.0,0
108735721,-0.00219485,-0.00339581,0.0134975,0.999983,-0.00124901,0.000360254,0.00571768,1.0,0.0,0.0,0.0,0
108768738,0.00602561,-0.00839442,-0.00880108,0.999983,-0.00121714,0.00039326,0.00570504,1.0,0.0,0.0,0.0,0
108802759,-0.00190593,0.00428444,-0.0167104,0.999983,-0.00120746,0.000371375,0.0057172,1.0,0.0,0.0,0.0,0
108832756,0.0129109,-0.0104473,0.00585306,0.999983,-0.00120935,0.00045134,0.00571689,1.0,0.0,0.0,0.0,0
108864750,0.0100577,0.00632689,0.0128077,0.999983,-0.00114801,0.000515361,0.00567663,1.0,0.0,0.0,0.0,0
108896895,0.00430733,-0.000685305,-0.00295661,0.999983,-0.00105288,0.00049133,0.00570351,1.0,0.0,0.0,0.0,0
108924744,0.00652775,-0.0147484,0.00240212,0.999983,-0.00107039,0.000394317,0.00573439,1.0,0.0,0.0,0.0,0
108958988,0.0041924,-0.000550983,-0.0101864,0.999983,-0.000998721,0.000309202,0.00567593,1.0,0.0,0.0,0.0,0
108991741,0.000840238,0.00725957,-0.0110235,0.999984,-0.00106797,0.00045014,0.00562645,1.0,0.0,0.0,0.0,0
109020726,0.0145948,-0.00234242,0.00966312,0.999983,-0.00102351,0.000356188,0.00565711,1.0,0.0,0.0,0.0,0
109052732,-0.000926893,0.00251915,-0.0141138,0.999984,-0.00101718,0.000364513,0.00563802,1.0,0.0,0.0,0.0,0
109084783,-0.0135311,0.00204398,-0.00440413,0.999983,-0.00106167,0.000359673,0.00565403,1.0,0.0,0.0,0.0,0
109115127,0.0093272,0.0120166,0.0002021,0.999983,-0.000927343,0.000451692,0.00569011,1.0,0.0,0.0,0.0,0
109147766,-0.00449171,0.00740473,-0.0131236,0.999983,-0.00104534,0.000460347,0.00564566,1.0,0.0,0.0,0.0,0
109176727,0.00474233,0.00323258,0.0136406,0.999984,-0.000990915,0.000536438,0.00561526,1.0,0.0,0.0,0.0,0
109207817,0.00510673,-0.00845198,-0.00897285,0.999984,-0.000978496,0.000420337,0.0055691,1.0,0.0,0.0,0.0,0
109240771,0.00377032,-0.00810156,-0.0109595,0.999985,-0.000971179,0.000448213,0.00546704,1.0,0.0,0.0,0.0,0
109270837,-0.0164745,0.00039299,-0.00671274,0.999985,-0.000964479,0.000487602,0.00536401,1.0,0.0,0.0,0.0,0
109304734,-0.0166391,-0.0130126,-0.00681205,0.999985,-0.000943308,0.000471811,0.00537097,1.0,0.0,0.0,0.0,0
109335731,0.0325645,0.00571744,0.012196,0.999985,-0.000790741,0.000467493,0.00536866,1.0,0.0,0.0,0.0,0
109368784,-0.0146238,-0.0179952,-0.0192319,0.999986,-0.000746938,0.000390892,0.00528891,1.0,0.0,0.0,0.0,0
109399739,0.0163486,-0.00429421,-0.00179077,0.999986,-0.000322094,0.000234949,0.00529549,1.0,0.0,0.0,0.0,0
109430631,-0.00284479,0.000577388,-0.0210406,0.999986,-0.000479678,9.134e-05,0.00532821,1.0,0.0,0.0,0.0,0
109463728,0.00246213,-0.0136983,0.000321126,0.999986,-6.62927e-05,0.000162583,0.00538131,1.0,0.0,0.0,0.0,0
109492968,0.0157674,-0.00617238,0.00115368,0.999986,5.37748e-05,5.01226e-05,0.0053296,1.0,0.0,0.0,0.0,0
109524737,0.00121327,-0.00461751,0.0135488,0.999986,-0.000168019,7.97393e-05,0.0052611,1.0,0.0,0.0,0.0,0
109552092,0.00955304,-0.0182426,0.0108805,0.999987,0.000109282,-3.30469e-05,0.00520422,1.0,0.0,0.0,0.0,0
109586704,0.0178888,0.000523167,-0.00135222,0.999986,0.00012252,-5.30564e-05,0.00525478,1.0,0.0,0.0,0.0,0
109620755,-0.0389614,-0.0133885,-0.000272983,0.999986,0.000197329,-0.000387735,0.00531807,1.0,0.0,0.0,0.0,0
109652724,0.0287858,0.0157745,0.00143833,0.999986,0.000287653,-0.00012255,0.00534043,1.0,0.0,0.0,0.0,0
109680737,-0.00864105,-0.00286725,-0.00941586,0.999986,0.000107143,-0.000346808,0.00533639,1.0,0.0,0.0,0.0,0
109715878,-0.0241921,-0.0315844,-0.00348776,0.999985,0.000146037,-0.00037835,0.00542933,1.0,0.0,0.0,0.0,0
109747012,0.0388014,0.0136981,-0.00627191,0.999985,-4.5863e-05,-0.000361794,0.00548222,1.0,0.0,0.0,0.0,0
109776739,-0.0534119,-0.00459699,0.00876983,0.999985,-0.000144298,-0.0004126,0.00543834,1.0,0.0,0.0,0.0,0
109808838,0.0427973,-0.0113247,0.0151503,0.999985,-2.9649e-05,-0.000334955,0.00546102,1.0,0.0,0.0,0.0,0
109839734,-0.0286096,0.0314197,-0.0110182,0.999984,-0.00036038,-0.000197515,0.00557549,1.0,0.0,0.0,0.0,0
109872770,-0.0309868,-0.00268926,0.0140577,0.999984,-0.000179012,-0.000153328,0.00571558,1.0,0.0,0.0,0.0,0
109903820,0.0544997,0.00926408,-0.00731602,0.999983,-0.000296794,-3.07267e-05,0.00580971,1.0,0.0,0.0,0.0,0
109932732,-0.0423967,-0.0178634,-0.00782918,0.999983,-0.000160796,-0.000135059,0.0057871,1.0,0.0,0.0,0.0,0
109967737,0.0356575,-0.000313435,0.000641812,0.999983,-0.000337384,-3.71006e-05,0.00591516,1.0,0.0,0.0,0.0,0
