timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
121634825,0.0198763,0.00467891,-0.00225766,0.999944,-0.000748741,-0.000152638,0.0106032,1.0,0.0,0.0,0.0,0
121754751,0.00343388,-0.00847591,-0.0124251,0.999942,-0.000773571,-0.000213631,0.0107551,1.0,0.0,0.0,0.0,0
121853770,-0.016329,-0.0127071,0.000315755,0.999941,-0.000783628,-9.43245e-05,0.0108593,1.0,0.0,0.0,0.0,0
121957765,-0.00703255,0.0140485,-0.0043417,0.999941,-0.000753535,-6.94113e-06,0.0108409,1.0,0.0,0.0,0.0,0
122057753,-0.00276699,-0.00434024,0.000720559,0.999941,-0.000720429,-5.20388e-05,0.0108897,1.0,0.0,0.0,0.0,0
122157853,-0.000468977,-0.00776744,-0.00150549,0.999939,-0.000940052,-6.7847e-05,0.0109727,1.0,0.0,0.0,0.0,0
122261867,-0.00589661,0.000743691,-0.0117486,0.99994,-0.000920873,0.000163492,0.0108811,1.0,0.0,0.0,0.0,0
122362762,0.0159987,0.00515384,0.0179137,0.999942,-0.000817359,0.000144361,0.0107824,1.0,0.0,0.0,0.0,0
122461757,-0.0142046,-0.00733638,0.0140848,0.999941,-0.000661889,0.000186097,0.010795,1.0,0.0,0.0,0.0,0
122566742,0.0188212,0.0109549,0.081701,0.999925,-0.00022554,0.000173484,0.0122617,1.0,0.0,0.0,0.0,0
122666768,0.0249778,0.00889571,0.211998,0.999809,5.20549e-05,4.28557e-05,0.0195331,1.0,0.0,0.0,0.0,0
122766765,-0.00543425,-0.0183699,0.284771,0.999475,0.000212813,-0.000188275,0.0323903,1.0,0.0,0.0,0.0,0
122870746,-0.0309388,0.00339917,0.246974,0.998919,-4.70143e-06,-0.000202444,0.0464808,1.0,0.0,0.0,0.0,0
122970731,-0.0143199,0.00553336,0.213834,0.99833,-3.97708e-07,-0.000275678,0.0577648,1.0,0.0,0.0,0.0,0
123073798,-0.00671387,-0.0179337,0.150193,0.997773,0.000348832,-5.19061e-06,0.0667014,1.0,0.0,0.0,0.0,0
123174744,-0.0220413,-0.00866953,0.0957543,0.997365,0.000400831,0.000407969,0.0725407,1.0,0.0,0.0,0.0,0
123274854,0.0042958,-0.0460107,0.0610529,0.997093,0.00060884,0.000351929,0.0761935,1.0,0.0,0.0,0.0,0
123377743,-0.00548207,-0.0304828,0.0137994,0.996976,0.000155332,-0.000139757,0.0777081,1.0,0.0,0.0,0.0,0
123478894,-0.00598836,-0.0194575,-0.0105714,0.996993,3.97737e-05,-3.51321e-06,0.0774881,1.0,0.0,0.0,0.0,0
123581724,0.0387276,-0.0571573,-0.0206051,0.997075,9.79959e-05,0.00065003,0.0764321,1.0,0.0,0.0,0.0,0
123680658,0.0230323,-0.0201988,-0.0315652,0.997191,-0.000181701,0.000643675,0.074893,1.0,0.0,0.0,0.0,0
123784667,0.035651,-0.0167483,-0.0435115,0.997353,-0.000351217,0.000266904,0.0727151,1.0,0.0,0.0,0.0,0
123881890,0.0525231,-0.00301017,-0.0281184,0.997464,-0.000241833,0.000149824,0.0711688,1.0,0.0,0.0,0.0,0
123986814,0.0240316,-0.0254968,-0.0351272,0.997577,-0.000286476,-0.00016118,0.0695637,1.0,0.0,0.0,0.0,0
124086739,-0.00452965,0.0321854,-0.0158375,0.997656,-0.000693848,0.000205624,0.0684252,1.0,0.0,0.0,0.0,0
124189908,-0.000650396,0.0245583,-0.00364692,0.997706,-0.00055735,0.000276046,0.0676977,1.0,0.0,0.0,0.0,0
124289778,-0.00975926,0.01404,-0.00101001,0.997726,-0.000436793,0.000318007,0.0673952,1.0,0.0,0.0,0.0,0
124393762,-0.0125967,0.0109949,0.012268,0.997745,-8.80655e-05,0.000306773,0.0671218,1.0,0.0,0.0,0.0,0
124493736,0.0052972,0.0152708,0.0156426,0.997745,-8.32717e-05,0.000274088,0.0671214,1.0,0.0,0.0,0.0,0
124593744,0.0126812,0.0330077,-0.00775285,0.997735,5.23012e-05,0.000194146,0.0672647,1.0,0.0,0.0,0.0,0
124697742,-0.0174657,0.00944451,0.00555644,0.997715,-5.14934e-05,0.000121888,0.0675665,1.0,0.0,0.0,0.0,0
124797847,-0.034807,-0.0237849,0.00975479,0.99769,-0.000224318,8.42486e-05,0.067926,1.0,0.0,0.0,0.0,0
124897916,0.00451975,-0.0207858,-0.00239977,0.997679,-0.000133641,-0.000285302,0.0680904,1.0,0.0,0.0,0.0,0
125002727,0.0086528,-0.0160117,0.0110738,0.997654,-4.50031e-05,-0.000219027,0.0684587,1.0,0.0,0.0,0.0,0
125101765,-0.00265436,-0.00136062,0.015893,0.99764,-2.38638e-05,6.61166e-06,0.0686583,1.0,0.0,0.0,0.0,0
125205730,-0.0125921,-0.0512332,0.011737,0.997622,-0.00018155,-0.000532183,0.0689225,1.0,0.0,0.0,0.0,0
125306803,0.0155521,0.0334531,-0.00832573,0.997619,-0.000274373,-0.000773331,0.0689684,1.0,0.0,0.0,0.0,0
125405803,0.0341966,0.0315575,0.00542404,0.997614,-0.000178711,-0.000595989,0.0690364,1.0,0.0,0.0,0.0,0
125505798,-0.00335464,0.0178533,-0.0104545,0.997614,-0.000357751,-0.000438504,0.0690353,1.0,0.0,0.0,0.0,0
125610730,0.00854017,0.0107856,0.000968693,0.997614,-8.20231e-05,-0.000117007,0.069042,1.0,0.0,0.0,0.0,0
