timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_flip_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
16402443,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17405980,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
17719435,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
18726338,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
19729425,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
20739422,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
21106461,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22115419,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23116590,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23448434,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
24455419,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
25379477,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26383488,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27387454,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28394474,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29396552,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30403261,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31301066,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
31347192,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
32350668,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
33351026,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
34359427,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
34794788,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35803423,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36424565,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
37434875,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38442420,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
39450421,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
40460011,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
