timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
28165781,0.032804,0.0126804,-0.00349459,0.999786,-0.00024807,-0.000651043,-0.0206704,1.0,0.0,0.0,0.0,0
28286837,-0.000541945,-0.023922,0.0102951,0.999794,-0.000160041,-0.000853965,-0.0202979,1.0,0.0,0.0,0.0,0
28389715,0.000587603,-0.0136961,0.0067806,0.999798,-0.000113282,-0.000763489,-0.0200794,1.0,0.0,0.0,0.0,0
28489763,-0.000910625,-0.00230913,0.0145204,0.999804,-5.18294e-05,-0.000826624,-0.0197668,1.0,0.0,0.0,0.0,0
28593715,-0.0104923,-0.00847911,0.00456397,0.999804,-0.00032685,-0.000787934,-0.0197589,1.0,0.0,0.0,0.0,0
28693776,0.00181861,0.00305431,1.07291e-05,0.999809,-0.000523287,-0.000832452,-0.0195331,1.0,0.0,0.0,0.0,0
28793744,0.00233,0.00755118,0.00493247,0.999809,-0.000539229,-0.000493045,-0.0195209,1.0,0.0,0.0,0.0,0
28893724,-0.000290916,0.00137946,-0.0187447,0.99981,-0.000453005,-0.000533048,-0.0195023,1.0,0.0,0.0,0.0,0
28998846,-0.000785315,0.000381943,0.00706901,0.999808,-0.00022498,-0.000302311,-0.0196114,1.0,0.0,0.0,0.0,0
29098782,-0.00729007,-0.00409992,0.00410798,0.999804,7.2509e-06,-0.000114091,-0.0197851,1.0,0.0,0.0,0.0,0
29201730,0.00292933,-0.000138972,-0.00367715,0.999801,8.71584e-05,0.000107191,-0.019932,1.0,0.0,0.0,0.0,0
29300720,0.00360305,0.00251374,0.0026652,0.999801,3.88662e-05,-8.98396e-05,-0.0199495,1.0,0.0,0.0,0.0,0
29404621,-0.01968,0.00120452,0.00694822,0.999799,-1.4394e-05,-0.000101168,-0.0200334,1.0,0.0,0.0,0.0,0
29506730,-0.00243436,0.0204038,0.00543428,0.9998,0.000221762,7.35057e-05,-0.0200111,1.0,0.0,0.0,0.0,0
29606803,0.007372,0.0255728,-0.00478871,0.9998,5.38939e-05,6.26524e-05,-0.0199941,1.0,0.0,0.0,0.0,0
29709726,0.0271015,0.0305426,-0.00245918,0.999803,0.000194063,6.7108e-05,-0.0198614,1.0,0.0,0.0,0.0,0
29809753,0.00927657,0.00692286,0.000458234,0.999803,-9.52426e-05,1.10134e-05,-0.0198609,1.0,0.0,0.0,0.0,0
29913741,0.0091258,-0.0232544,0.0128614,0.999807,-0.000149434,-3.02664e-05,-0.0196292,1.0,0.0,0.0,0.0,0
30013760,0.000347098,0.0229366,-0.00448255,0.999811,5.80399e-05,2.61329e-05,-0.0194563,1.0,0.0,0.0,0.0,0
30113733,-0.00927115,-0.00620203,0.00664685,0.99981,-9.38397e-06,0.000193159,-0.0194715,1.0,0.0,0.0,0.0,0
30217745,-0.0317849,0.0181489,-0.0131399,0.999808,-0.000122054,7.17509e-05,-0.0195803,1.0,0.0,0.0,0.0,0
30317730,-0.0105926,0.00147145,0.00329406,0.999808,-5.51257e-05,-4.29836e-05,-0.0195846,1.0,0.0,0.0,0.0,0
30417852,-0.0237713,0.0221385,-0.00657516,0.999808,4.51744e-05,-4.86375e-05,-0.0195782,1.0,0.0,0.0,0.0,0
30522733,-0.0373488,0.0307843,-0.00959897,0.999809,-3.11619e-05,-0.000247614,-0.0195434,1.0,0.0,0.0,0.0,0
30621729,-0.0154779,0.0192228,-0.00515514,0.999811,-0.000213519,0.000177529,-0.0194161,1.0,0.0,0.0,0.0,0
30721832,0.0223699,0.00159357,-0.000238254,0.999812,-0.000255678,1.66851e-05,-0.0193953,1.0,0.0,0.0,0.0,0
30825769,-0.0131151,0.00232504,0.00268635,0.999805,-0.00354283,-6.41344e-05,-0.0194172,1.0,0.0,0.0,0.0,0
30926716,0.0556639,0.0126655,0.00131072,0.99981,-0.00242499,-6.30254e-05,-0.019364,1.0,0.0,0.0,0.0,0
31029740,-0.0126273,0.0137327,-0.00707249,0.999816,-0.00181505,0.000164103,-0.019113,1.0,0.0,0.0,0.0,0
31129761,0.0125996,-0.00918134,0.00157414,0.999817,-0.00391807,0.000129235,-0.0187329,1.0,0.0,0.0,0.0,0
31229699,-0.0791363,0.0418082,0.00685378,0.99983,-0.00266833,0.00125428,-0.0181822,1.0,0.0,0.0,0.0,0
31333824,-0.266411,0.151108,0.00172219,0.999745,-0.0116237,0.00712557,-0.0180221,1.0,0.0,0.0,0.0,0
31432533,-0.461023,0.26144,0.000233129,0.999242,-0.0298914,0.0176583,-0.0176075,1.0,0.0,0.0,0.0,0
31536545,-0.679947,0.331693,0.00347476,0.99749,-0.0598232,0.0336262,-0.01745,1.0,0.0,0.0,0.0,0
31638894,-0.89333,0.425703,0.00378861,0.993394,-0.099775,0.0540152,-0.0171786,1.0,0.0,0.0,0.0,0
31737742,-1.09157,0.51963,-0.00745692,0.985754,-0.148044,0.0780168,-0.0168952,1.0,0.0,0.0,0.0,0
31841686,-1.27451,0.602857,-0.00970052,0.971944,-0.20846,0.10771,-0.0163845,1.0,0.0,0.0,0.0,0
31941679,-1.50019,0.709153,-0.00850192,0.950939,-0.275341,0.140193,-0.0157516,1.0,0.0,0.0,0.0,0
32041722,-1.69879,0.790681,-0.0374417,0.920073,-0.34961,0.176097,-0.0151312,1.0,0.0,0.0,0.0,0
32145682,-1.91935,0.89564,-0.0129148,0.874874,-0.433154,0.216259,-0.0143511,1.0,0.0,0.0,0.0,0
32245764,-2.10458,0.973144,-0.0176728,0.816287,-0.51744,0.256423,-0.0133522,1.0,0.0,0.0,0.0,0
32349695,-2.30698,1.07918,-0.0253216,0.737544,-0.605727,0.298286,-0.0122358,1.0,0.0,0.0,0.0,0
32449705,-2.51758,1.16687,-0.0278067,0.642446,-0.688116,0.337113,-0.0107272,1.0,0.0,0.0,0.0,0
32549673,-2.72366,1.24708,-0.0144866,0.527283,-0.763698,0.372369,-0.00893184,1.0,0.0,0.0,0.0,0
32649683,-2.91414,1.3494,-0.0290522,0.391675,-0.827635,0.401951,-0.00678838,1.0,0.0,0.0,0.0,0
