timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_flip_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
28046913,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
29047504,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
30054506,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
31058717,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
31136733,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
31830592,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
31875423,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
32886261,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
33869437,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
34875507,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35884440,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36893580,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
37900012,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
38752798,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
39759472,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
40763074,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
40784526,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
41790937,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
42794700,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
43635865,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
44638870,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
45644260,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
45790438,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
46795462,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
47632781,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
48639894,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
49310443,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
50312447,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
51319458,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
51387856,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
52396888,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
52935447,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
53945416,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
54952458,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55961452,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56363676,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
57375563,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
58384553,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
58700595,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59707578,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60713441,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
61723504,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62727524,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
63734416,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64743562,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65745413,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66747742,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
67756570,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
68767270,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
69767442,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
70771461,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
71780826,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72789455,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73795476,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
74799582,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
75805511,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76807499,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
77811998,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
78813414,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
79823628,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
80823942,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
81824417,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
82835491,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
83839665,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
83917458,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
