timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
52492743,0.00964192,0.00665839,0.00415379,0.999976,-0.0015178,0.002052,0.00650577,1.0,0.0,0.0,0.0,0
52610962,-0.00449594,0.00863732,0.0188571,0.999975,-0.00149608,0.00211036,0.00664622,1.0,0.0,0.0,0.0,0
52713730,-0.00229107,0.0112204,0.0103483,0.999975,-0.00142452,0.00215473,0.00660594,1.0,0.0,0.0,0.0,0
52812848,0.029732,0.0153102,0.00949009,0.999975,-0.0011956,0.00228411,0.00664097,1.0,0.0,0.0,0.0,0
52916885,-0.00171792,0.0129363,0.0236341,0.999975,-0.00108447,0.00217275,0.00660972,1.0,0.0,0.0,0.0,0
53017726,0.000505584,-0.00777076,-0.0107318,0.999975,-0.00106505,0.00215195,0.00666707,1.0,0.0,0.0,0.0,0
53115525,0.00653372,0.0136824,-0.0047562,0.999976,-0.000902955,0.00219835,0.00656237,1.0,0.0,0.0,0.0,0
53219873,-0.00184459,0.020052,0.00460602,0.999975,-0.000798127,0.00219195,0.00674335,1.0,0.0,0.0,0.0,0
53323811,-0.00792354,0.00444679,-0.00800028,0.999974,-0.00059288,0.00223018,0.00683203,1.0,0.0,0.0,0.0,0
53425751,-0.0137964,-0.00592517,-0.0257634,0.999974,-0.000606801,0.00241445,0.00681341,1.0,0.0,0.0,0.0,0
53525722,-0.0198587,-0.000184533,0.0115319,0.999975,-0.000619358,0.00227562,0.00669911,1.0,0.0,0.0,0.0,0
53628768,0.00478064,-0.0190902,0.00793755,0.999975,-0.00065997,0.00224985,0.00673018,1.0,0.0,0.0,0.0,0
53728797,0.000120938,-0.0201598,-0.00279169,0.999976,-0.000524235,0.0014581,0.00676568,1.0,0.0,0.0,0.0,0
53828781,-0.0095077,-0.0330817,-0.000971424,0.999977,-0.000251443,0.000281186,0.00674333,1.0,0.0,0.0,0.0,0
53932867,-0.0273851,-0.0238102,0.00379689,0.999978,-0.000184614,-0.000134344,0.00667859,1.0,0.0,0.0,0.0,0
54032731,-0.0135278,-0.0341363,0.00121084,0.999978,-0.000391383,-0.000284383,0.00658001,1.0,0.0,0.0,0.0,0
54136372,-0.0259356,-0.0174777,-0.00536493,0.999979,-0.000110716,0.000197387,0.00653232,1.0,0.0,0.0,0.0,0
54237721,-0.0304626,-0.0452831,-0.00728882,0.999979,0.000129726,-0.000178713,0.00652452,1.0,0.0,0.0,0.0,0
54337848,0.0250477,-0.035881,-0.00503067,0.999979,-0.000416945,-0.000926602,0.00639318,1.0,0.0,0.0,0.0,0
54440727,0.00792162,0.00244567,0.00837508,0.99998,-5.12325e-05,-0.00052647,0.00630434,1.0,0.0,0.0,0.0,0
54540770,-0.0363739,0.0793832,0.00478083,0.99998,7.83659e-05,0.000214997,0.00636023,1.0,0.0,0.0,0.0,0
54641737,-0.00195387,0.00981988,0.0103377,0.99998,2.59815e-05,0.000571996,0.00631299,1.0,0.0,0.0,0.0,0
54741730,0.00511011,0.0205711,0.00950172,0.999981,-9.62834e-05,0.000509856,0.00617376,1.0,0.0,0.0,0.0,0
54844733,0.0189387,4.1296e-05,-0.000923054,0.999981,8.64466e-06,-5.93802e-05,0.00613372,1.0,0.0,0.0,0.0,0
54944740,0.0161058,-0.014938,0.00945247,0.99998,5.75121e-05,4.90094e-05,0.00634593,1.0,0.0,0.0,0.0,0
55048844,0.00826901,-0.00795482,0.00699445,0.999979,1.92703e-05,-9.54786e-05,0.00650612,1.0,0.0,0.0,0.0,0
55148835,-0.0107326,-0.00607687,0.00901027,0.999979,0.000222163,-1.82889e-06,0.00654207,1.0,0.0,0.0,0.0,0
55248939,0.000152591,-0.0154009,-0.00428034,0.999979,0.000194544,0.00012393,0.00653083,1.0,0.0,0.0,0.0,0
55352733,-0.00137883,0.00155093,-0.0038325,0.999977,-2.48125e-06,8.68099e-05,0.00682005,1.0,0.0,0.0,0.0,0
55453801,-0.0141686,-0.00256808,0.0033873,0.999976,2.667e-07,0.00018663,0.00688606,1.0,0.0,0.0,0.0,0
55549852,-0.0160823,-0.00775416,-0.0050051,0.999976,-0.000208856,0.000208259,0.00696999,1.0,0.0,0.0,0.0,0
55656770,-0.0045742,-0.0149124,-0.00440038,0.999977,-0.000127473,0.000141104,0.00683958,1.0,0.0,0.0,0.0,0
55756745,-0.0050992,0.0104553,0.0117824,0.999974,-0.000182516,0.00016966,0.00715878,1.0,0.0,0.0,0.0,0
55860769,0.00341477,0.00227512,0.00973688,0.999972,-0.000283117,0.0001457,0.00742834,1.0,0.0,0.0,0.0,0
55960730,0.000804687,0.0112809,0.00315975,0.999972,-0.000197612,0.000233245,0.00751996,1.0,0.0,0.0,0.0,0
56064752,-0.00959021,-0.00585595,-0.0055392,0.99997,-0.000357233,0.000358014,0.00768833,1.0,0.0,0.0,0.0,0
56165740,0.0100982,0.0119143,-0.00932569,0.999969,-0.000239125,0.000539355,0.00782559,1.0,0.0,0.0,0.0,0
56265783,-0.00593963,-0.00156001,-0.00290896,0.999968,-0.000233026,0.000660386,0.00802303,1.0,0.0,0.0,0.0,0
56364765,0.018362,-0.0072991,-0.00566466,0.999967,-0.000263054,0.000642562,0.00813207,1.0,0.0,0.0,0.0,0
56469742,-0.00322005,0.000619154,0.00223605,0.999966,-0.000399222,0.000794558,0.00825013,1.0,0.0,0.0,0.0,0
56569725,0.00126481,0.0111856,0.0192775,0.999964,-0.000460547,0.000895575,0.00842064,1.0,0.0,0.0,0.0,0
56673729,0.0114625,0.0043437,0.0144278,0.999964,-0.000566341,0.000910345,0.00843828,1.0,0.0,0.0,0.0,0
56775199,-0.00796178,0.00392773,-0.00201476,0.999962,-0.000623719,0.000980486,0.00868916,1.0,0.0,0.0,0.0,0
56872735,-0.00294929,-0.00319082,-0.000467225,0.999961,-0.00062385,0.00101443,0.00875324,1.0,0.0,0.0,0.0,0
56977730,-0.00038253,-0.0162308,0.00948258,0.999958,-0.000762977,0.00106411,0.00911109,1.0,0.0,0.0,0.0,0
57077477,0.0119599,0.0030011,-0.00594801,0.999959,-0.00103524,0.000937273,0.00896826,1.0,0.0,0.0,0.0,0
57180776,-0.00279502,-0.00960397,0.0164668,0.999958,-0.000894109,0.000833274,0.00908122,1.0,0.0,0.0,0.0,0
57280732,-0.00590611,-0.00196273,0.00994107,0.999957,-0.0010667,0.000655039,0.00919499,1.0,0.0,0.0,0.0,0
57380735,-0.00410674,-0.00468909,0.0130302,0.999956,-0.00130206,0.000760643,0.00929191,1.0,0.0,0.0,0.0,0
57484873,0.00242958,0.0052247,-0.00686876,0.999954,-0.00133142,0.000714271,0.00944395,1.0,0.0,0.0,0.0,0
57585986,0.00481689,0.0162926,-0.0136121,0.999955,-0.00116346,0.000560693,0.0093738,1.0,0.0,0.0,0.0,0
57685793,-0.002935,0.0119463,-0.00229597,0.999954,-0.00128795,0.000553342,0.00952791,1.0,0.0,0.0,0.0,0
57788741,-0.000140262,-0.00243312,-0.0207394,0.999952,-0.00118895,0.000447141,0.00967177,1.0,0.0,0.0,0.0,0
57888816,-0.00596863,-0.00106249,0.0010745,0.999954,-0.000680985,0.000113149,0.00959255,1.0,0.0,0.0,0.0,0
57992734,-0.000684608,0.0232837,-0.00993439,0.999959,0.000172695,-0.000102953,0.0090852,1.0,0.0,0.0,0.0,0
58092805,0.0126347,0.0128432,-0.0192846,0.999965,0.000297455,3.27727e-05,0.00840012,1.0,0.0,0.0,0.0,0
58192900,0.0270556,0.0041923,0.0142149,0.999968,8.82848e-05,9.62913e-05,0.00802133,1.0,0.0,0.0,0.0,0
58295908,-0.00778298,-0.0186564,0.0759847,0.999946,-6.6408e-05,0.000367024,0.0103889,1.0,0.0,0.0,0.0,0
58396744,0.00385872,-0.0221846,0.0474449,0.999916,-0.000201348,0.000918086,0.012919,1.0,0.0,0.0,0.0,0
58496734,0.0151339,-0.015018,0.0333954,0.999883,-4.30116e-06,0.000686155,0.0153033,1.0,0.0,0.0,0.0,0
