timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
26357746,-0.00112824,0.0167466,0.000378706,0.999811,0.000312473,-0.000849137,-0.0194121,1.0,0.0,0.0,0.0,0
26473755,0.00739726,-0.0126097,-0.00798551,0.999808,0.000465435,-0.000782565,-0.0195786,1.0,0.0,0.0,0.0,0
26577850,-0.0147479,0.00860922,-0.0103505,0.999809,0.000431739,-0.000805736,-0.0195304,1.0,0.0,0.0,0.0,0
26677757,0.0015054,0.00315317,-0.00148376,0.999811,0.000489293,-0.000698835,-0.0194394,1.0,0.0,0.0,0.0,0
26777833,-0.000841771,-0.0118009,-0.00499561,0.999811,0.000550719,-0.000612797,-0.019414,1.0,0.0,0.0,0.0,0
26881738,-0.00133831,0.00979274,-0.0143921,0.999815,0.000319041,-0.000454617,-0.0192191,1.0,0.0,0.0,0.0,0
26982738,-0.00298712,0.0227961,-0.00509371,0.999817,0.000354922,-7.77296e-06,-0.0191466,1.0,0.0,0.0,0.0,0
27083885,0.00496137,0.006635,0.0140882,0.999816,0.000264595,0.00013051,-0.0191673,1.0,0.0,0.0,0.0,0
27185746,0.0178084,0.00130414,-0.000643258,0.999817,0.000234441,8.54525e-05,-0.0191342,1.0,0.0,0.0,0.0,0
27285744,-0.00630871,-0.00577936,0.0129163,0.999822,0.000130559,0.00015441,-0.0188718,1.0,0.0,0.0,0.0,0
27389732,0.00503849,-0.0105807,0.0135762,0.999824,6.48464e-05,0.000338768,-0.0187803,1.0,0.0,0.0,0.0,0
27489864,-0.0015798,-0.0109474,-0.0234747,0.999823,-3.75552e-05,0.000186961,-0.0188367,1.0,0.0,0.0,0.0,0
27590062,0.0151852,-0.00757239,-0.00892297,0.999822,7.44577e-05,0.000134506,-0.0188853,1.0,0.0,0.0,0.0,0
27693734,-0.00438002,0.0204996,0.00368714,0.999817,-0.000106473,0.000165395,-0.0191125,1.0,0.0,0.0,0.0,0
27793308,-1.0571e-05,0.00843034,0.00708369,0.999829,-0.000142203,0.000200291,-0.0184814,1.0,0.0,0.0,0.0,0
27896647,-0.00180488,-0.00176757,0.0288042,0.999842,-0.000174224,3.28003e-05,-0.0177601,1.0,0.0,0.0,0.0,0
27997742,-0.0235388,0.0020854,0.00292334,0.999852,-0.000213092,-0.000186697,-0.0171949,1.0,0.0,0.0,0.0,0
28097735,0.00612746,0.00965351,0.0129289,0.999862,-6.55166e-05,-0.000158669,-0.016633,1.0,0.0,0.0,0.0,0
28201734,0.0157525,-0.00297583,-0.00344247,0.999867,0.000134732,-0.000390674,-0.0163256,1.0,0.0,0.0,0.0,0
28302881,0.00824059,-0.00907791,-0.0116136,0.999868,0.000393126,-0.000704052,-0.0162475,1.0,0.0,0.0,0.0,0
28401787,0.0278916,-0.0367455,0.00594892,0.999869,0.00013099,-0.000269042,-0.0161843,1.0,0.0,0.0,0.0,0
28505733,0.0161818,-0.0124333,-0.00766362,0.999874,-0.000226285,-0.000141453,-0.0159049,1.0,0.0,0.0,0.0,0
28605732,0.00399275,8.32703e-05,0.0057489,0.999872,-0.000309849,-7.12534e-05,-0.0159931,1.0,0.0,0.0,0.0,0
28709619,-0.0443149,-0.0107819,-0.00500473,0.999871,-0.000377577,-6.80409e-05,-0.0160358,1.0,0.0,0.0,0.0,0
28809610,-0.373976,0.0347716,0.00559552,0.999797,-0.0119846,0.00152411,-0.01611,1.0,0.0,0.0,0.0,0
28909752,-0.677789,0.06907,0.00201766,0.999108,-0.0389112,0.00477289,-0.0156953,1.0,0.0,0.0,0.0,0
29013595,-1.02341,0.104263,0.00433474,0.996368,-0.0831754,0.00983275,-0.0153876,1.0,0.0,0.0,0.0,0
29114607,-1.31748,0.113589,0.00233893,0.989653,-0.141713,0.0166177,-0.0151275,1.0,0.0,0.0,0.0,0
29213612,-1.6265,0.161383,0.0208074,0.976533,-0.213443,0.0248057,-0.0144811,1.0,0.0,0.0,0.0,0
29317758,-1.95534,0.196552,-0.00111711,0.952164,-0.303316,0.0346877,-0.0134123,1.0,0.0,0.0,0.0,0
29417615,-2.24241,0.210686,0.0101417,0.914687,-0.401402,0.0455157,-0.0123496,1.0,0.0,0.0,0.0,0
29521668,-2.57739,0.243541,0.0099352,0.85649,-0.512843,0.0574813,-0.0106507,1.0,0.0,0.0,0.0,0
29621612,-2.86809,0.259653,-0.00129181,0.777793,-0.624615,0.0694098,-0.00872597,1.0,0.0,0.0,0.0,0
29721607,-3.19266,0.291823,0.0255474,0.673052,-0.735121,0.0810093,-0.00605753,1.0,0.0,0.0,0.0,0
29821595,-3.49408,0.307524,0.0194057,0.539843,-0.836762,0.0916018,-0.00285645,1.0,0.0,0.0,0.0,0
29926630,-3.82229,0.316131,0.0428626,0.368421,-0.924206,0.100535,0.00154226,1.0,0.0,0.0,0.0,0
30024889,-4.1383,0.364942,0.035725,0.180515,-0.977855,0.105722,0.00610533,1.0,0.0,0.0,0.0,0
30128232,-4.46463,0.354287,0.0178906,-0.0401187,-0.993451,0.106383,0.0113645,1.0,0.0,0.0,0.0,0
30229623,-4.77082,0.383854,0.0307309,-0.270011,-0.957353,0.101369,0.0171442,1.0,0.0,0.0,0.0,0
30333627,-5.08826,0.40644,0.0484295,-0.50457,-0.858402,0.0897091,0.0225283,1.0,0.0,0.0,0.0,0
30433612,-5.39157,0.417533,0.0195171,-0.710186,-0.699821,0.0718507,0.0269156,1.0,0.0,0.0,0.0,0
30534609,-5.71346,0.431688,0.0426857,-0.876433,-0.47824,0.0476426,0.0297062,1.0,0.0,0.0,0.0,0
30633606,-6.00872,0.450455,0.0310612,-0.976984,-0.210284,0.019191,0.0302493,1.0,0.0,0.0,0.0,0
30737647,-6.3322,0.450599,0.0339289,-0.993907,0.105735,-0.0134071,0.0280938,1.0,0.0,0.0,0.0,0
30837618,-6.66154,0.451789,0.0366035,-0.908868,0.414152,-0.0441106,0.0221786,1.0,0.0,0.0,0.0,0
30942617,-6.97042,0.462077,0.0351144,-0.706859,0.70363,-0.0714388,0.0123085,1.0,0.0,0.0,0.0,0
31041731,0.957035,-0.391561,0.0163026,-0.552935,0.82966,-0.0768886,-0.00383915,1.0,0.0,0.0,0.0,0
31141735,3.82316,-0.609036,-0.0930846,-0.674465,0.73588,-0.057033,-0.0180148,1.0,0.0,0.0,0.0,0
31245728,4.01952,-0.463548,-0.223026,-0.813767,0.579872,-0.0318531,-0.0227348,1.0,0.0,0.0,0.0,0
31345866,4.05183,-0.209897,-0.299714,-0.915389,0.402081,-0.0131051,-0.0149074,1.0,0.0,0.0,0.0,0
31445737,3.75105,-0.0598966,-0.350451,-0.977857,0.209255,-0.00272961,0.0011818,1.0,0.0,0.0,0.0,0
31550755,1.81231,0.0168576,-0.346937,-0.997691,0.0649097,0.00166078,0.0199211,1.0,0.0,0.0,0.0,0
31649801,0.55435,0.050882,-0.309076,-0.999308,0.00776626,0.00234399,0.0362886,1.0,0.0,0.0,0.0,0
31753734,0.0871929,0.0241052,-0.260426,-0.998646,-0.0107468,0.00187745,0.0508631,1.0,0.0,0.0,0.0,0
31853737,-0.0294785,0.0317587,-0.193064,-0.998,-0.0139301,0.00108648,0.0616534,1.0,0.0,0.0,0.0,0
31953737,-0.0479228,0.0213098,-0.135971,-0.997496,-0.0138336,0.000875308,0.0693494,1.0,0.0,0.0,0.0,0
32057741,-0.0492823,0.00373895,-0.00916407,-0.997409,-0.0140212,0.000837903,0.0705554,1.0,0.0,0.0,0.0,0
32156372,-0.0435016,0.0022247,0.0123989,-0.997476,-0.0130878,0.000698196,0.0697842,1.0,0.0,0.0,0.0,0
32261739,-0.0448019,-0.00603953,0.0250886,-0.997545,-0.0125275,0.00064109,0.0688958,1.0,0.0,0.0,0.0,0
32362780,-0.0638952,0.000540383,0.0272726,-0.99762,-0.0121587,0.00074303,0.0678665,1.0,0.0,0.0,0.0,0
32461785,-0.0183708,-0.0225417,0.010694,-0.997675,-0.011927,0.00093433,0.0670966,1.0,0.0,0.0,0.0,0
32562807,-0.0544159,-0.0393329,0.0420773,-0.997731,-0.0117682,0.00109228,0.0662806,1.0,0.0,0.0,0.0,0
32665745,-0.0396632,-0.0109647,0.03531,-0.997776,-0.0119108,0.000876395,0.0655707,1.0,0.0,0.0,0.0,0
32766740,-0.0785196,-0.00733082,0.0219282,-0.997795,-0.0117503,0.000727449,0.0653135,1.0,0.0,0.0,0.0,0
32869757,-0.0835531,-0.00796825,0.0292286,-0.997842,-0.0122413,0.000812348,0.0645078,1.0,0.0,0.0,0.0,0
32969741,-0.0906904,-0.0459153,0.150749,-0.998075,-0.0128663,0.00137328,0.0606477,1.0,0.0,0.0,0.0,0
33073728,-0.0935607,-0.0496923,0.423629,-0.998804,-0.0137298,0.00234672,0.0468701,1.0,0.0,0.0,0.0,0
33174745,-0.0770459,-0.0146638,0.819013,-0.999766,-0.0155075,0.002932,0.0147911,1.0,0.0,0.0,0.0,0
