timestamp,flag_armed,flag_external_manual_override_ok,flag_system_hil_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_flip_enabled,flag_control_rattitude_enabled,flag_control_force_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled,flag_control_fixed_hdg_enabled
52284594,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
53290550,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
54297692,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
55303633,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
56305429,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
57313527,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
58321443,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
59331427,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
60333582,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
61337215,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
62337421,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
63347417,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64355423,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
65360420,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66360981,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
66871101,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67877066,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68883455,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69891517,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70895421,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71163551,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
72173422,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
73181453,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
74190758,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
75194653,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
76198424,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
77200799,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
