timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
73095427,0.0,-0.0,0.017179,0.0,0.999963,0.0,0.0,0.00858941,0.0,-1.0,1,0,0,0,0,0,0
73215402,0.0,-0.0,0.0175734,0.0,0.999961,0.0,0.0,0.00878658,0.0,-1.0,1,0,0,0,0,0,0
73318291,0.0,-0.0,0.0177079,0.0,0.999961,0.0,0.0,0.00885384,0.0,-1.0,1,0,0,0,0,0,0
73419399,0.0,-0.0,0.0175581,0.0,0.999961,0.0,0.0,0.00877892,0.0,-1.0,1,0,0,0,0,0,0
73522002,0.0,-0.0,0.0178472,0.0,0.99996,0.0,0.0,0.00892348,0.0,-1.0,1,0,0,0,0,0,0
73622193,0.0,-0.0,0.0176122,0.0,0.999961,0.0,0.0,0.00880598,0.0,-1.0,1,0,0,0,0,0,0
73722456,0.0,-0.0,0.0179084,0.0,0.99996,0.0,0.0,0.00895409,0.0,-1.0,1,0,0,0,0,0,0
73826764,0.0,-0.0,0.0179968,0.0,0.99996,0.0,0.0,0.00899828,0.0,-1.0,1,0,0,0,0,0,0
73926021,0.0,-0.0,0.0180248,0.0,0.999959,0.0,0.0,0.00901229,0.0,-1.0,1,0,0,0,0,0,0
74026008,0.0,-0.0,0.0179085,0.0,0.99996,0.0,0.0,0.00895413,0.0,-1.0,1,0,0,0,0,0,0
74131144,0.0,-0.0,0.0182749,0.0,0.999958,0.0,0.0,0.0091373,0.0,-1.0,1,0,0,0,0,0,0
74232040,0.0,-0.0,0.0182385,0.0,0.999958,0.0,0.0,0.00911911,0.0,-1.0,1,0,0,0,0,0,0
74334358,0.0,-0.0,0.0183718,0.0,0.999958,0.0,0.0,0.00918576,0.0,-1.0,1,0,0,0,0,0,0
74435148,0.0,-0.0,0.0189368,0.0,0.999955,0.0,0.0,0.00946825,0.0,-1.0,1,0,0,0,0,0,0
74535177,0.0,-0.0,0.0188785,0.0,0.999955,0.0,0.0,0.0094391,0.0,-1.0,1,0,0,0,0,0,0
74638163,0.0,-0.0,0.0186624,0.0,0.999956,0.0,0.0,0.00933104,0.0661598,-1.0,1,0,0,0,0,0,0
74737038,0.0,-0.0,0.0190104,-1.03362e-08,0.999955,0.0,0.0,0.00950508,0.550147,-1.0,1,0,0,0,0,0,0
74841479,0.0,-0.0,0.0194155,0.0317861,0.999953,0.0,0.0,0.00970758,0.652655,-1.0,1,0,0,0,0,0,0
74942160,0.0,-0.0,0.0247523,0.0553614,0.999923,0.0,0.0,0.0123758,0.650778,-1.0,1,0,0,0,0,0,0
75042030,0.0,-0.0,0.0288387,0.00341616,0.999896,0.0,0.0,0.0144189,0.650886,-1.0,1,0,0,0,0,0,0
75142686,0.0,-0.0,0.0288246,0.000186271,0.999896,0.0,0.0,0.0144118,0.650888,-1.0,1,0,0,0,0,0,0
75247681,0.0,-0.0,0.0288265,1.13442e-06,0.999896,0.0,0.0,0.0144127,0.650887,-1.0,1,0,0,0,0,0,0
75346427,0.0,-0.0,0.0288265,-2.14863e-08,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
75447040,0.0,-0.0,0.0288265,-2.43583e-09,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
75552082,0.0,-0.0,0.0288265,-2.32345e-11,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
75650903,0.0,-0.0,0.0288265,1.64521e-12,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
75755740,0.0,-0.0,0.0288265,2.93681e-14,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
75855039,0.0,-0.0,0.0288265,3.58409e-16,0.999896,0.0,0.0,0.0144128,0.65123,-1.0,1,0,0,0,0,0,0
75958021,0.0,-0.0,0.0288265,-1.57904e-17,0.999896,0.0,0.0,0.0144128,0.650889,-1.0,1,0,0,0,0,0,0
76059758,0.0,-0.0,0.0288265,-3.30925e-19,0.999896,0.0,0.0,0.0144128,0.650887,-1.0,1,0,0,0,0,0,0
76158070,0.0,-0.0,0.0288265,-4.82981e-21,0.999896,0.0,0.0,0.0144128,0.650887,-1.0,1,0,0,0,0,0,0
76258427,0.0,-0.0,0.0288265,1.37042e-22,0.999896,0.0,0.0,0.0144128,0.650887,-1.0,1,0,0,0,0,0,0
76362359,0.0,-0.0,0.0288265,3.49488e-24,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
76463017,0.0,-0.0,0.0288265,2.0498e-26,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
76567013,0.0,-0.0,0.0288265,-1.0051e-27,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
76667061,0.0,-0.0,0.0288265,-3.43781e-29,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
76770078,0.0,-0.0,0.0288265,-6.02309e-31,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
76869065,0.0,-0.0,0.0288265,4.78456e-33,0.999896,0.0,0.0,0.0144128,0.650887,-1.0,1,0,0,0,0,0,0
76974036,0.0,-0.0,0.0288265,9.50986e-34,0.999896,0.0,0.0,0.0144128,0.65137,-1.0,1,0,0,0,0,0,0
77074011,0.0,-0.0,0.0288265,1.03768e-35,0.999896,0.0,0.0,0.0144128,0.650889,-1.0,1,0,0,0,0,0,0
77175220,0.0,-0.0,0.0288265,2.02106e-38,0.999896,0.0,0.0,0.0144128,0.651091,-1.0,1,0,0,0,0,0,0
77275713,0.0,-0.0,0.0288265,-1.10795e-38,0.999896,0.0,0.0,0.0144128,0.650832,-1.0,1,0,0,0,0,0,0
77378022,0.0,-0.0,0.0288265,-1.48417e-40,0.999896,0.0,0.0,0.0144128,0.650887,-1.0,1,0,0,0,0,0,0
77479832,0.0,-0.0,0.0288265,5.27309e-42,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
77579153,0.0,-0.0,0.0288265,1.17709e-43,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
77683377,0.0,-0.0,0.0288265,0.0,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
77783024,0.0,-0.0,0.0288265,0.0,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
77883188,0.0,-0.0,0.0288265,0.0,0.999896,0.0,0.0,0.0144128,0.650887,-1.0,1,0,0,0,0,0,0
77927037,0.0,-0.0,0.0288265,0.0,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
77927037,0.0,-0.0,0.0288265,0.0,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
77927037,0.0,-0.0,0.0288265,0.0,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
77927037,0.0,-0.0,0.0288265,0.0,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
77927037,0.0,-0.0,0.0288265,0.0,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
77927037,0.0,-0.0,0.0288265,0.0,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
77927037,0.0,-0.0,0.0288265,0.0,0.999896,0.0,0.0,0.0144128,0.650888,-1.0,1,0,0,0,0,0,0
